modelo,rmse_promedio,mejora_pct,ventanas_ganadas
Linear Regression,0.014750370627911921,3.804006668624364,6
Huber Regressor,0.014890262211053829,2.891689945302849,5
Bayesian Ridge,0.014977329910620946,2.323869376029309,6
Ridge,0.01502302719156919,2.0258500621931503,6
Extra Trees,0.015023489209858196,2.0228369644636577,5
Random Forest,0.015102570541936441,1.5071002765434258,5
AdaBoost,0.015226393050552097,0.699579603772915,4
ElasticNet,0.015304223496091863,0.19200069548746496,6
K-Nearest Neighbors,0.015314875626985658,0.12253177580584698,5
Lasso,0.01532143900652175,0.07972805039366122,4
LightGBM,0.01540645989650913,-0.4747440488210731,4
Gradient Boosting,0.015475845900202699,-0.9272516987622228,5
SVR (RBF),0.0155947626719109,-1.7027791256178137,3
XGBoost,0.01602149731522574,-4.485771088199601,1
Decision Tree,0.01603418925538545,-4.568542824704668,0
